"","from","to"
"1243","Petroleum and Geothermal Energy Act 2000","Petroleum and Geothermal Energy Act 2000"
"1244","Petroleum and Geothermal Energy Act 2000","Petroleum and Geothermal Energy Act 2000"
"1245","Petroleum and Geothermal Energy Act 2000","Natural Resources Management Act 2004"
"1246","Petroleum and Geothermal Energy Act 2000","Adelaide Dolphin Sanctuary Act 2005"
"1247","Petroleum and Geothermal Energy Act 2000","Marine Parks Act 2007"
"1248","Petroleum and Geothermal Energy Act 2000","Crown Land Management Act 2009"
"1249","Petroleum Products Regulation Act 1995","Petroleum Products Regulation Act 1995"
"1250","Petroleum Products Regulation Act 1995","Petroleum Products Regulation Act 1995"
"1251","Petroleum Products Regulation Act 1995","Petroleum Products Regulation Act 1995"
"1252","Petroleum Products Regulation Act 1995","Petroleum Products Regulation Act 1995"
"1253","Petroleum Products Regulation Act 1995","Environment Protection Act 1993"
"1254","Phylloxera and Grape Industry Act 1995","Phylloxera and Grape Industry Act 1995"
"1255","Phylloxera and Grape Industry Act 1995","Phylloxera and Grape Industry Act 1995"
"1256","Phylloxera and Grape Industry Act 1995","Phylloxera and Grape Industry Act 1995"
"1257","Phylloxera and Grape Industry Act 1995","Plant Health Act 2009"
"1258","Planning Development and Infrastructure Act 2016","Liquor Licensing Act 1997"
"1259","Planning Development and Infrastructure Act 2016","Local Government Act 1999"
"1260","Planning Development and Infrastructure Act 2016","Public Sector Act 2009"
"1261","Planning Development and Infrastructure Act 2016","Urban Renewal Act 1995"
"1262","Plant Health Act 2009","Plant Health Act 2009"
"1263","Plant Health Act 2009","Plant Health Act 2009"
"1264","Plant Health Act 2009","Plant Health Act 2009"
"1265","Plant Health Act 2009","Phylloxera and Grape Industry Act 1995"
"1266","Police Act 1998","Police Act 1998"
"1267","Police Act 1998","Police Act 1998"
"1268","Police Act 1998","Police Act 1998"
"1269","Police Act 1998","Police Act 1998"
"1270","Police Act 1998","Acts Interpretation Act 1915"
"1271","Police Act 1998","Police Superannuation Act 1990"
"1272","Police Act 1998","Police Complaints and Discipline Act 2016"
"1273","Police Complaints and Discipline Act 2016","Police Complaints and Discipline Act 2016"
"1274","Police Complaints and Discipline Act 2016","Police Complaints and Discipline Act 2016"
"1275","Police Complaints and Discipline Act 2016","Child Sex Offenders Registration Act 2006"
"1276","Police Complaints and Discipline Act 2016","Correctional Services Act 1982"
"1277","Police Complaints and Discipline Act 2016","Freedom of Information Act 1991"
"1278","Police Complaints and Discipline Act 2016","Independent Commissioner Against Corruption Act 2012"
"1279","Police Complaints and Discipline Act 2016","Parliamentary Committees Act 1991"
"1280","Police Complaints and Discipline Act 2016","Police Act 1998"
"1281","Police Complaints and Discipline Act 2016","Protective Security Act 2007"
"1282","Police Complaints and Discipline Act 2016","Whistleblowers Protection Act 1993"
"1283","Police Complaints and Discipline Act 2016","Witness Protection Act 1996"
"1284","Police Superannuation Act 1990","Police Superannuation Act 1990"
"1285","Police Superannuation Act 1990","Police Superannuation Act 1990"
"1286","Police Superannuation Act 1990","Police Superannuation Act 1990"
"1287","Police Superannuation Act 1990","Police Superannuation Act 1990"
"1288","Police Superannuation Act 1990","Southern State Superannuation Act 2009"
"1289","Port Pirie Racecourse Site Act 1946","Port Pirie Racecourse Site Act 1946"
"1290","Port Pirie Racecourse Site Act 1946","Port Pirie Racecourse Site Act 1946"
"1291","Powers of Attorney and Agency Act 1984","Powers of Attorney and Agency Act 1984"
"1292","Powers of Attorney and Agency Act 1984","Powers of Attorney and Agency Act 1984"
"1293","Prices Act 1948","Prices Act 1948"
"1294","Prices Act 1948","Prices Act 1948"
"1295","Primary Industry Funding Schemes Act 1998","Primary Industry Funding Schemes Act 1998"
"1296","Primary Industry Funding Schemes Act 1998","Primary Industry Funding Schemes Act 1998"
"1297","Primary Industry Funding Schemes Act 1998","Primary Industry Funding Schemes Act 1998"
"1298","Primary Industry Funding Schemes Act 1998","Livestock Act 1997"
"1299","Primary Produce (Food Safety Schemes) Act 2004","Animal Welfare Act 1985"
"1300","Primary Producers Emergency Assistance Act 1967","Primary Producers Emergency Assistance Act 1967"
"1301","Primary Producers Emergency Assistance Act 1967","Primary Producers Emergency Assistance Act 1967"
"1302","Prince Alfred College Incorporation Act 1878","Prince Alfred College Incorporation Act 1878"
"1303","Prince Alfred College Incorporation Act 1878","The Uniting Church in Australia Act 1977"
"1304","Private Parking Areas Act 1986","Private Parking Areas Act 1986"
"1305","Private Parking Areas Act 1986","Private Parking Areas Act 1986"
"1306","Private Parking Areas Act 1986","Fire and Emergency Services Act 2005"
"1307","Problem Gambling Family Protection Orders Act 2004","Problem Gambling Family Protection Orders Act 2004"
"1308","Problem Gambling Family Protection Orders Act 2004","Problem Gambling Family Protection Orders Act 2004"
"1309","Problem Gambling Family Protection Orders Act 2004","Problem Gambling Family Protection Orders Act 2004"
"1310","Problem Gambling Family Protection Orders Act 2004","Problem Gambling Family Protection Orders Act 2004"
"1311","Professional Standards Act 2004","Professional Standards Act 2004"
"1312","Professional Standards Act 2004","Professional Standards Act 2004"
"1313","Prohibition of Human Cloning for Reproduction Act 2003","Prohibition of Human Cloning for Reproduction Act 2003"
"1314","Prohibition of Human Cloning for Reproduction Act 2003","Prohibition of Human Cloning for Reproduction Act 2003"
"1315","Proof of Sunrise and Sunset Act 1923","Proof of Sunrise and Sunset Act 1923"
"1316","Proof of Sunrise and Sunset Act 1923","Proof of Sunrise and Sunset Act 1923"
"1317","Protective Security Act 2007","Protective Security Act 2007"
"1318","Protective Security Act 2007","Protective Security Act 2007"
"1319","Protective Security Act 2007","Protective Security Act 2007"
"1320","Protective Security Act 2007","Police Complaints and Discipline Act 2016"
"1321","Public Assemblies Act 1972","Public Assemblies Act 1972"
"1322","Public Assemblies Act 1972","Public Assemblies Act 1972"
"1323","Public Corporations Act 1993","Public Corporations Act 1993"
"1324","Public Corporations Act 1993","Public Corporations Act 1993"
"1325","Public Employees Housing Act 1987","Public Employees Housing Act 1987"
"1326","Public Employees Housing Act 1987","Public Employees Housing Act 1987"
"1327","Public Employees Housing Act 1987","Public Employees Housing Act 1987"
"1328","Public Finance and Audit Act 1987","Public Finance and Audit Act 1987"
"1329","Public Finance and Audit Act 1987","Public Finance and Audit Act 1987"
"1330","Public Finance and Audit Act 1987","Public Finance and Audit Act 1987"
"1331","Public Intoxication Act 1984","Public Intoxication Act 1984"
"1332","Public Intoxication Act 1984","Public Intoxication Act 1984"
"1333","Public Intoxication Act 1984","Public Intoxication Act 1984"
"1334","Public Sector (Honesty and Accountability) Act 1995","Protective Security Act 2007"
"1335","Public Sector Act 2009","Public Sector Act 2009"
"1336","Public Sector Act 2009","Public Sector Act 2009"
"1337","Public Sector Act 2009","Fair Work Act 1994"
"1338","Public Sector Act 2009","South Australian Employment Tribunal Act 2014"
"1339","Public Sector Act 2009","Fair Work Act 1994"
"1340","Public Sector Act 2009","Independent Commissioner Against Corruption Act 2012"
"1341","Public Trustee Act 1995","Public Trustee Act 1995"
"1342","Public Trustee Act 1995","Public Trustee Act 1995"
"1343","Public Trustee Act 1995","Public Trustee Act 1995"
"1344","Public Trustee Act 1995","Administration and Probate Act 1919"
"1345","Racial Vilification Act 1996","Racial Vilification Act 1996"
"1346","Racial Vilification Act 1996","Racial Vilification Act 1996"
"1347","Racial Vilification Act 1996","Racial Vilification Act 1996"
"1348","Radiation Protection and Control Act 1982","Radiation Protection and Control Act 1982"
"1349","Radiation Protection and Control Act 1982","Radiation Protection and Control Act 1982"
"1350","Radiation Protection and Control Act 1982","Radiation Protection and Control Act 1982"
"1351","Rail Commissioner Act 2009","Rail Commissioner Act 2009"
"1352","Rail Commissioner Act 2009","Rail Commissioner Act 2009"
"1353","Rail Commissioner Act 2009","Rail Commissioner Act 2009"
"1354","Rail Safety National Law (South Australia) Act 2012","Rail Commissioner Act 2009"
"1355","Rail Transport Facilitation Fund Act 2001","Rail Transport Facilitation Fund Act 2001"
"1356","Rail Transport Facilitation Fund Act 2001","Rail Transport Facilitation Fund Act 2001"
"1357","Railways (Operations and Access) Act 1997","Rail Commissioner Act 2009"
"1358","Real Property Act 1886","Real Property Act 1886"
"1359","Real Property Act 1886","Real Property Act 1886"
"1360","Real Property Act 1886","Real Property Act 1886"
"1361","Real Property Act 1886","Justices of the Peace Act 2005"
"1362","Real Property Act 1886","Water Industry Act 2012"
"1363","Recreation Grounds Rates and Taxes Exemption Act 1981","Recreation Grounds Rates and Taxes Exemption Act 1981"
"1364","Recreation Grounds Rates and Taxes Exemption Act 1981","Recreation Grounds Rates and Taxes Exemption Act 1981"
"1365","Recreation Grounds Rates and Taxes Exemption Act 1981","Recreation Grounds Rates and Taxes Exemption Act 1981"
"1366","Recreational Greenways Act 2000","Recreational Greenways Act 2000"
"1367","Recreational Greenways Act 2000","Recreational Greenways Act 2000"
"1368","Recreational Greenways Act 2000","Recreational Greenways Act 2000"
"1369","Recreational Greenways Act 2000","Development Act 1993"
"1370","Redundant Officers Fund Act 1936","Redundant Officers Fund Act 1936"
"1371","Redundant Officers Fund Act 1936","Redundant Officers Fund Act 1936"
"1372","Registration of Deeds Act 1935","Registration of Deeds Act 1935"
"1373","Registration of Deeds Act 1935","Registration of Deeds Act 1935"
"1374","Relationships Register Act 2016","Relationships Register Act 2016"
"1375","Relationships Register Act 2016","Relationships Register Act 2016"
"1376","Relationships Register Act 2016","Domestic Partners Property Act 1996"
"1377","Relationships Register Act 2016","Equal Opportunity Act 1984"
"1378","Relationships Register Act 2016","Wills Act 1936"
"1379","Remuneration Act 1990","Remuneration Act 1990"
"1380","Remuneration Act 1990","Remuneration Act 1990"
"1381","Renmark Irrigation Trust Act 2009","Renmark Irrigation Trust Act 2009"
"1382","Renmark Irrigation Trust Act 2009","Renmark Irrigation Trust Act 2009"
"1383","Renmark Irrigation Trust Act 2009","Renmark Irrigation Trust Act 2009"
"1384","Renmark Irrigation Trust Act 2009","Renmark Irrigation Trust Act 2009"
"1385","Renmark Irrigation Trust Act 2009","Natural Resources Management Act 2004"
"1386","Research Involving Human Embryos Act 2003","Research Involving Human Embryos Act 2003"
"1387","Research Involving Human Embryos Act 2003","Research Involving Human Embryos Act 2003"
"1388","Research Involving Human Embryos Act 2003","Research Involving Human Embryos Act 2003"
"1389","Residential Parks Act 2007","Residential Parks Act 2007"
"1390","Residential Parks Act 2007","Residential Parks Act 2007"
"1391","Residential Parks Act 2007","Residential Parks Act 2007"
"1392","Residential Parks Act 2007","Residential Tenancies Act 1995"
"1393","Residential Parks Act 2007","Housing Improvement Act 2016"
"1394","Residential Tenancies Act 1995","Residential Tenancies Act 1995"
"1395","Residential Tenancies Act 1995","Residential Tenancies Act 1995"
"1396","Residential Tenancies Act 1995","Residential Tenancies Act 1995"
"1397","Residential Tenancies Act 1995","Residential Tenancies Act 1995"
"1398","Residential Tenancies Act 1995","Residential Parks Act 2007"
"1399","Residential Tenancies Act 1995","Housing Improvement Act 2016"
"1400","Residential Tenancies Act 1995","Retirement Villages Act 2016"
"1401","Retail and Commercial Leases Act 1995","Retail and Commercial Leases Act 1995"
"1402","Retail and Commercial Leases Act 1995","Retail and Commercial Leases Act 1995"
"1403","Retail and Commercial Leases Act 1995","Retail and Commercial Leases Act 1995"
"1404","Retail and Commercial Leases Act 1995","Magistrates Court Act 1991"
"1405","Retail and Commercial Leases Act 1995","Small Business Commissioner Act 2011"
"1406","Retirement Villages Act 2016","Retirement Villages Act 2016"
"1407","Retirement Villages Act 2016","Retirement Villages Act 2016"
"1408","Retirement Villages Act 2016","Residential Tenancies Act 1995"
"1409","Return to Work Act 2014","Return to Work Act 2014"
"1410","Return to Work Act 2014","Return to Work Act 2014"
"1411","Return to Work Act 2014","Civil Liability Act 1936"
"1412","Return to Work Act 2014","Civil Liability Act 1936"
"1413","Return to Work Act 2014","Supreme Court Act 1935"
"1414","Return to Work Act 2014","Work Health and Safety Act 2012"
"1415","Return to Work Act 2014","South Australian Employment Tribunal Act 2014"
"1416","Return to Work Corporation of South Australia Act 1994","Return to Work Corporation of South Australia Act 1994"
"1417","Return to Work Corporation of South Australia Act 1994","Return to Work Corporation of South Australia Act 1994"
"1418","Return to Work Corporation of South Australia Act 1994","Return to Work Act 2014"
"1419","Return to Work Corporation of South Australia Act 1994","Return to Work Act 2014"
"1420","Returned Services Badges Act 1952","Returned Services Badges Act 1952"
"1421","Returned Services Badges Act 1952","Returned Services Badges Act 1952"
"1422","River Murray Act 2003","River Murray Act 2003"
"1423","River Murray Act 2003","River Murray Act 2003"
"1424","River Murray Act 2003","River Murray Act 2003"
"1425","River Murray Act 2003","Aquaculture Act 2001"
"1426","River Murray Act 2003","Coast Protection Act 1972"
"1427","River Murray Act 2003","Development Act 1993"
"1428","River Murray Act 2003","Environment Protection Act 1993"
"1429","River Murray Act 2003","Harbors and Navigation Act 1993"
"1430","River Murray Act 2003","Historic Shipwrecks Act 1981"
"1431","River Murray Act 2003","Mining Act 1971"
"1432","River Murray Act 2003","National Parks and Wildlife Act 1972"
"1433","River Murray Act 2003","Native Vegetation Act 1991"
"1434","River Murray Act 2003","Opal Mining Act 1995"
"1435","River Murray Act 2003","Parliamentary Committees Act 1991"
"1436","River Murray Act 2003","Parliamentary Remuneration Act 1990"
"1437","River Murray Act 2003","South Eastern Water Conservation and Drainage Act 1992"
"1438","River Murray Act 2003","Water Resources Act 1997"
"1439","River Murray Act 2003","Natural Resources Management Act 2004"
"1440","River Murray Act 2003","Murray-Darling Basin Act 2008"
"1441","River Murray Waters Agreement Supplemental Agreement Act 1963","River Murray Waters Agreement Supplemental Agreement Act 1963"
"1442","River Murray Waters Agreement Supplemental Agreement Act 1963","River Murray Waters Agreement Supplemental Agreement Act 1963"
"1443","Riverbank Act 1997","Riverbank Act 1997"
"1444","Riverbank Act 1997","Riverbank Act 1997"
"1445","Riverbank Act 1997","Real Property Act 1886"
"1446","Road Traffic Act 1961","Road Traffic Act 1961"
"1447","Road Traffic Act 1961","Road Traffic Act 1961"
"1448","Road Traffic Act 1961","Road Traffic Act 1961"
"1449","Road Traffic Act 1961","Coroners Act 2003"
"1450","Roads (Opening and Closing) Act 1991","Real Property Act 1886"
"1451","Roads (Opening and Closing) Act 1991","Highways Act 1926"
"1452","Roads (Opening and Closing) Act 1991","Adelaide Park Lands Act 2005"
"1453","Roman Catholic Archdiocese of Adelaide Charitable Trust Act 1981","Roman Catholic Archdiocese of Adelaide Charitable Trust Act 1981"
"1454","Roman Catholic Archdiocese of Adelaide Charitable Trust Act 1981","Roman Catholic Archdiocese of Adelaide Charitable Trust Act 1981"
"1455","Royal Commissions Act 1917","Royal Commissions Act 1917"
"1456","Royal Commissions Act 1917","Royal Commissions Act 1917"
"1457","Royal Commissions Act 1917","Royal Commissions Act 1917"
"1458","Royal Style and Titles Act 1973","Royal Style and Titles Act 1973"
"1459","Royal Style and Titles Act 1973","Royal Style and Titles Act 1973"
"1460","Royal Style and Titles Act 1973","Royal Style and Titles Act 1973"
"1461","Rural Advances Guarantee Act 1963","Rural Advances Guarantee Act 1963"
"1462","Rural Advances Guarantee Act 1963","Rural Advances Guarantee Act 1963"
"1463","Rural Industry Adjustment and Development Act 1985","Rural Industry Adjustment and Development Act 1985"
"1464","Rural Industry Adjustment and Development Act 1985","Rural Industry Adjustment and Development Act 1985"
"1465","Rural Industry Adjustment and Development Act 1985","Rural Industry Adjustment and Development Act 1985"
"1466","SACE Board of South Australia Act 1983","SACE Board of South Australia Act 1983"
"1467","SACE Board of South Australia Act 1983","SACE Board of South Australia Act 1983"
"1468","SACE Board of South Australia Act 1983","SACE Board of South Australia Act 1983"
"1469","Safe Drinking Water Act 2011","Safe Drinking Water Act 2011"
"1470","Safe Drinking Water Act 2011","Safe Drinking Water Act 2011"
"1471","Safe Drinking Water Act 2011","Safe Drinking Water Act 2011"
"1472","Safe Drinking Water Act 2011","Food Act 2001"
"1473","Sale of Goods Act 1895","Sale of Goods Act 1895"
"1474","Sale of Goods Act 1895","Sale of Goods Act 1895"
"1475","Sea-Carriage Documents Act 1998","Sea-Carriage Documents Act 1998"
"1476","Sea-Carriage Documents Act 1998","Sea-Carriage Documents Act 1998"
"1477","Sea-Carriage Documents Act 1998","Sea-Carriage Documents Act 1998"
"1478","Sea-Carriage Documents Act 1998","Mercantile Law Act 1936"
"1479","Second-hand Dealers and Pawnbrokers Act 1996","Second-hand Dealers and Pawnbrokers Act 1996"
"1480","Second-hand Dealers and Pawnbrokers Act 1996","Second-hand Dealers and Pawnbrokers Act 1996"
"1481","Second-hand Dealers and Pawnbrokers Act 1996","Second-hand Dealers and Pawnbrokers Act 1996"
"1482","Second-hand Dealers and Pawnbrokers Act 1996","Magistrates Court Act 1991"
"1483","Second-hand Dealers and Pawnbrokers Act 1996","Summary Offences Act 1953"
"1484","Second-hand Vehicle Dealers Act 1995","Second-hand Vehicle Dealers Act 1995"
"1485","Second-hand Vehicle Dealers Act 1995","Second-hand Vehicle Dealers Act 1995"
"1486","Second-hand Vehicle Dealers Act 1995","Second-hand Vehicle Dealers Act 1995"
"1487","Second-hand Vehicle Dealers Act 1995","Magistrates Court Act 1991"
"1488","Security and Investigation Industry Act 1995","Security and Investigation Industry Act 1995"
"1489","Security and Investigation Industry Act 1995","Security and Investigation Industry Act 1995"
"1490","Security and Investigation Industry Act 1995","Security and Investigation Industry Act 1995"
"1491","Security and Investigation Industry Act 1995","Protective Security Act 2007"
"1492","Sentencing Act 2017","Sentencing Act 2017"
"1493","Sentencing Act 2017","Sentencing Act 2017"
"1494","Serious and Organised Crime (Control) Act 2008","Bail Act 1985"
"1495","Serious and Organised Crime (Control) Act 2008","Criminal Law Consolidation Act 1935"
"1496","Serious and Organised Crime (Control) Act 2008","Freedom of Information Act 1991"
"1497","Serious and Organised Crime (Control) Act 2008","Summary Offences Act 1953"
"1498","Serious and Organised Crime (Unexplained Wealth) Act 2009","Criminal Assets Confiscation Act 2005"
"1499","Settled Estates Act 1880","Settled Estates Act 1880"
"1500","SGIC (Sale) Act 1995","Superannuation Act 1988"
"1501","Sheriffs Act 1978","Supreme Court Act 1935"
"1502","Shop Theft (Alternative Enforcement) Act 2000","Correctional Services Act 1982"
"1503","Shop Trading Hours Act 1977","Shop Trading Hours Act 1977"
"1504","Shop Trading Hours Act 1977","Shop Trading Hours Act 1977"
"1505","Shop Trading Hours Act 1977","Shop Trading Hours Act 1977"
"1506","Small Business Commissioner Act 2011","Small Business Commissioner Act 2011"
"1507","Small Business Commissioner Act 2011","Small Business Commissioner Act 2011"
"1508","Small Business Commissioner Act 2011","Fair Trading Act 1987"
"1509","Small Business Commissioner Act 2011","Retail and Commercial Leases Act 1995"
"1510","Solicitor-General Act 1972","Solicitor-General Act 1972"
"1511","Solicitor-General Act 1972","Solicitor-General Act 1972"
"1512","South-Western Suburbs Drainage Act 1959","South-Western Suburbs Drainage Act 1959"
"1513","South-Western Suburbs Drainage Act 1959","South-Western Suburbs Drainage Act 1959"
"1514","South Australian Civil and Administrative Tribunal Act 2013","South Australian Civil and Administrative Tribunal Act 2013"
"1515","South Australian Civil and Administrative Tribunal Act 2013","South Australian Civil and Administrative Tribunal Act 2013"
"1516","South Australian Country Arts Trust Act 1992","South Australian Country Arts Trust Act 1992"
"1517","South Australian Country Arts Trust Act 1992","South Australian Country Arts Trust Act 1992"
"1518","South Australian Country Arts Trust Act 1992","South Australian Country Arts Trust Act 1992"
"1519","South Australian Employment Tribunal Act 2014","South Australian Employment Tribunal Act 2014"
"1520","South Australian Employment Tribunal Act 2014","South Australian Employment Tribunal Act 2014"
"1521","South Australian Employment Tribunal Act 2014","Return to Work Act 2014"
"1522","South Australian Employment Tribunal Act 2014","Return to Work Act 2014"
"1523","South Australian Employment Tribunal Act 2014","Return to Work Act 2014"
"1524","South Australian Film Corporation Act 1972","South Australian Film Corporation Act 1972"
"1525","South Australian Film Corporation Act 1972","South Australian Film Corporation Act 1972"
"1526","South Australian Forestry Corporation Act 2000","South Australian Forestry Corporation Act 2000"
"1527","South Australian Forestry Corporation Act 2000","South Australian Forestry Corporation Act 2000"
"1528","South Australian Forestry Corporation Act 2000","Public Corporations Act 1993"
"1529","South Australian Forestry Corporation Act 2000","South Australian Forestry Corporation Act 2000"
"1530","South Australian Forestry Corporation Act 2000","Forestry Act 1950"
"1531","South Australian Housing Trust Act 1995","South Australian Housing Trust Act 1995"
"1532","South Australian Housing Trust Act 1995","South Australian Housing Trust Act 1995"
"1533","South Australian Housing Trust Act 1995","Ombudsman Act 1972"
"1534","South Australian Housing Trust Act 1995","South Australian Housing Trust Act 1995"
"1535","South Australian Housing Trust Act 1995","South Australian Housing Trust Act 1995"
"1536","South Australian Local Government Grants Commission Act 1992","South Australian Local Government Grants Commission Act 1992"
"1537","South Australian Local Government Grants Commission Act 1992","South Australian Local Government Grants Commission Act 1992"
"1538","South Australian Local Government Grants Commission Act 1992","South Australian Local Government Grants Commission Act 1992"
"1539","South Australian Motor Sport Act 1984","South Australian Motor Sport Act 1984"
"1540","South Australian Motor Sport Act 1984","South Australian Motor Sport Act 1984"
"1541","South Australian Motor Sport Act 1984","Adelaide Park Lands Act 2005"
"1542","South Australian Multicultural and Ethnic Affairs Commission Act 1980","South Australian Multicultural and Ethnic Affairs Commission Act 1980"
"1543","South Australian Multicultural and Ethnic Affairs Commission Act 1980","South Australian Multicultural and Ethnic Affairs Commission Act 1980"
"1544","South Australian Museum Act 1976","South Australian Museum Act 1976"
"1545","South Australian Museum Act 1976","South Australian Museum Act 1976"
"1546","South Australian Museum Act 1976","South Australian Museum Act 1976"
"1547","South Australian Ports (Disposal of Maritime Assets) Act 2000","Parliamentary Committees Act 1991"
"1548","South Australian Ports (Disposal of Maritime Assets) Act 2000","Superannuation Act 1988"
"1549","South Australian Public Health Act 2011","South Australian Public Health Act 2011"
"1550","South Australian Public Health Act 2011","South Australian Public Health Act 2011"
"1551","South Australian Public Health Act 2011","Electricity Act 1996"
"1552","South Australian Public Health Act 2011","Emergency Management Act 2004"
"1553","South Australian Public Health Act 2011","Essential Services Act 1981"
"1554","South Australian Public Health Act 2011","Fire and Emergency Services Act 2005"
"1555","South Australian Public Health Act 2011","Gas Act 1997"
"1556","South Australian Public Health Act 2011","Health Care Act 2008"
"1557","South Australian Public Health Act 2011","Summary Offences Act 1953"
"1558","South Australian Timber Corporation (Sale of Assets) Act 1996","Real Property Act 1886"
"1559","South Australian Timber Corporation (Sale of Assets) Act 1996","Superannuation Act 1988"
"1560","South Australian Timber Corporation (Sale of Assets) Act 1996","Superannuation Act 1988"
"1561","South Australian Timber Corporation (Sale of Assets) Act 1996","South Australian Timber Corporation Act 1979"
"1562","South Australian Timber Corporation Act 1979","South Australian Timber Corporation Act 1979"
"1563","South Australian Timber Corporation Act 1979","South Australian Timber Corporation Act 1979"
"1564","South Australian Tourism Commission Act 1993","South Australian Tourism Commission Act 1993"
"1565","South Australian Tourism Commission Act 1993","South Australian Tourism Commission Act 1993"
"1566","South Australian Water Corporation Act 1994","South Australian Water Corporation Act 1994"
"1567","South Australian Water Corporation Act 1994","South Australian Water Corporation Act 1994"
"1568","South Australian Water Corporation Act 1994","Public Corporations Act 1993"
"1569","South Australian Water Corporation Act 1994","South Australian Water Corporation Act 1994"
"1570","South Australian Water Corporation Act 1994","Water Industry Act 2012"
"1571","South Eastern Water Conservation and Drainage Act 1992","South Eastern Water Conservation and Drainage Act 1992"
"1572","South Eastern Water Conservation and Drainage Act 1992","South Eastern Water Conservation and Drainage Act 1992"
"1573","South Eastern Water Conservation and Drainage Act 1992","River Murray Act 2003"
"1574","South Eastern Water Conservation and Drainage Act 1992","South Eastern Water Conservation and Drainage Act 1992"
"1575","South Eastern Water Conservation and Drainage Act 1992","Natural Resources Management Act 2004"
"1576","Southern State Superannuation Act 2009","Southern State Superannuation Act 2009"
"1577","Southern State Superannuation Act 2009","Southern State Superannuation Act 2009"
"1578","Southern State Superannuation Act 2009","Police Superannuation Act 1990"
"1579","Southern State Superannuation Act 2009","Southern State Superannuation Act 2009"
"1580","Southern State Superannuation Act 2009","Southern State Superannuation Act 2009"
"1581","Southern State Superannuation Act 2009","Police Superannuation Act 1990"
"1582","Southern State Superannuation Act 2009","Subordinate Legislation Act 1978"
"1583","Southern State Superannuation Act 2009","Superannuation Funds Management Corporation of South Australia Act 1995"
"1584","Spent Convictions Act 2009","Spent Convictions Act 2009"
"1585","Spent Convictions Act 2009","Spent Convictions Act 2009"
"1586","Sports Drug Testing Act 2000","Sports Drug Testing Act 2000"
"1587","Sports Drug Testing Act 2000","Sports Drug Testing Act 2000"
"1588","Stamp Duties Act 1923","Stamp Duties Act 1923"
"1589","Stamp Duties Act 1923","Stamp Duties Act 1923"
"1590","Standard Time Act 2009","Standard Time Act 2009"
"1591","Standard Time Act 2009","Standard Time Act 2009"
"1592","State Bank (Corporatisation) Act 1994","Government Financing Authority Act 1982"
"1593","State Bank (Corporatisation) Act 1994","Legal Practitioners Act 1981"
"1594","State Bank (Corporatisation) Act 1994","Oaths Act 1936"
"1595","State Bank (Corporatisation) Act 1994","Public Finance and Audit Act 1987"
"1596","State Bank (Corporatisation) Act 1994","Trustee Act 1936"
"1597","State Lotteries Act 1966","State Lotteries Act 1966"
"1598","State Lotteries Act 1966","State Lotteries Act 1966"
"1599","State Lotteries Act 1966","State Lotteries Act 1966"
"1600","State Lotteries Act 1966","Lottery and Gaming Act 1936"
"1601","State Opera of South Australia Act 1976","State Opera of South Australia Act 1976"
"1602","State Opera of South Australia Act 1976","State Opera of South Australia Act 1976"
"1603","State Opera of South Australia Act 1976","State Opera of South Australia Act 1976"
"1604","State Procurement Act 2004","State Procurement Act 2004"
"1605","State Procurement Act 2004","State Procurement Act 2004"
"1606","State Procurement Act 2004","State Procurement Act 2004"
"1607","State Procurement Act 2004","State Procurement Act 2004"
"1608","State Procurement Act 2004","Gaming Machines Act 1992"
"1609","State Procurement Act 2004","State Procurement Act 2004"
"1610","State Records Act 1997","State Records Act 1997"
"1611","State Records Act 1997","State Records Act 1997"
"1612","State Records Act 1997","State Records Act 1997"
"1613","State Records Act 1997","Freedom of Information Act 1991"
"1614","State Records Act 1997","Libraries Act 1982"
"1615","State Theatre Company of South Australia Act 1972","State Theatre Company of South Australia Act 1972"
"1616","State Theatre Company of South Australia Act 1972","State Theatre Company of South Australia Act 1972"
"1617","State Theatre Company of South Australia Act 1972","State Theatre Company of South Australia Act 1972"
"1618","Statistics Act 1935","Statistics Act 1935"
"1619","Statistics Act 1935","Statistics Act 1935"
"1620","Statutory Salaries and Fees Act 1947","Statutory Salaries and Fees Act 1947"
"1621","Statutory Salaries and Fees Act 1947","Statutory Salaries and Fees Act 1947"
"1622","Stock Mortgages and Wool Liens Act 1924","Stock Mortgages and Wool Liens Act 1924"
"1623","Stock Mortgages and Wool Liens Act 1924","Stock Mortgages and Wool Liens Act 1924"
"1624","Stock Mortgages and Wool Liens Act 1924","Stock Mortgages and Wool Liens Act 1924"
"1625","Stock Mortgages and Wool Liens Act 1924","Stock Mortgages and Wool Liens Act 1924"
"1626","Stock Mortgages and Wool Liens Act 1924","Stock Mortgages and Wool Liens Act 1924"
"1627","Stock Mortgages and Wool Liens Act 1924","Bills of Sale Act 1886"
"1628","Strata Titles Act 1988","Strata Titles Act 1988"
"1629","Strata Titles Act 1988","Strata Titles Act 1988"
"1630","Strata Titles Act 1988","Land Agents Act 1994"
"1631","Strata Titles Act 1988","Strata Titles Act 1988"
"1632","Strata Titles Act 1988","Real Property Act 1886"
"1633","Strata Titles Act 1988","Legal Practitioners Act 1981"
"1634","Subordinate Legislation Act 1978","Subordinate Legislation Act 1978"
"1635","Subordinate Legislation Act 1978","Subordinate Legislation Act 1978"
"1636","Subordinate Legislation Act 1978","Natural Resources Management Act 2004"
"1637","Subordinate Legislation Act 1978","Southern State Superannuation Act 2009"
